date,open,high,low,close,adjClose,volume
28-Apr-23,33797.43,34104.56,33728.4,34098.16,34098.16,354310000
27-Apr-23,33381.66,33859.75,33374.65,33826.16,33826.16,343240000
26-Apr-23,33596.34,33645.83,33235.85,33301.87,33301.87,321170000
25-Apr-23,33828.34,33875.49,33525.39,33530.83,33530.83,297880000
24-Apr-23,33805.04,33891.15,33726.09,33875.4,33875.4,252020000
21-Apr-23,33793.6,33858.83,33688.57,33808.96,33808.96,291080000
20-Apr-23,33740.6,33875.39,33677.74,33786.62,33786.62,307910000
19-Apr-23,33889.83,33957.98,33814.65,33897.01,33897.01,251490000
18-Apr-23,33965.16,34018.62,33791.89,33976.63,33976.63,253570000
17-Apr-23,33930.46,33991.23,33796.91,33987.18,33987.18,234530000
14-Apr-23,33981.71,34082.94,33730.85,33886.47,33886.47,276720000
13-Apr-23,33668.97,34054.99,33605.17,34029.69,34029.69,277230000
12-Apr-23,33764.21,33895.43,33593.32,33646.5,33646.5,260300000
11-Apr-23,33586.75,33781.29,33586.75,33684.79,33684.79,241430000
10-Apr-23,33425.25,33590.24,33343.43,33586.52,33586.52,232920000
06-Apr-23,33420.96,33525.96,33325.37,33485.29,33485.29,258680000
05-Apr-23,33394.6,33543.84,33376.27,33482.72,33482.72,286660000
04-Apr-23,33594.79,33634.72,33275.62,33402.38,33402.38,283360000
03-Apr-23,33245.78,33632.9,33245.78,33601.15,33601.15,311890000
31-Mar-23,32901.96,33291,32901.96,33274.15,33274.15,353740000
30-Mar-23,32807.43,32905.8,32682.87,32859.03,32859.03,283380000
29-Mar-23,32566.54,32728.04,32539.94,32717.6,32717.6,314110000
28-Mar-23,32434.85,32551.01,32295.5,32394.25,32394.25,248560000
27-Mar-23,32276.72,32564,32276.72,32432.08,32432.08,291560000
24-Mar-23,32038.22,32257.24,31805.18,32237.53,32237.53,317070000
23-Mar-23,32101.49,32511.49,31864.74,32105.25,32105.25,335430000
22-Mar-23,32570.19,32761.89,32020.46,32030.11,32030.11,325990000
21-Mar-23,32420.71,32593.68,32346.12,32560.6,32560.6,363190000
20-Mar-23,31872.33,32280.07,31872.33,32244.58,32244.58,357210000
17-Mar-23,32217.32,32217.32,31728.7,31861.98,31861.98,712100000
16-Mar-23,31827.65,32281.61,31571.46,32246.55,32246.55,440940000
15-Mar-23,31759.87,31906.47,31429.82,31874.57,31874.57,420910000
14-Mar-23,32055.29,32306.59,31805.4,32155.4,32155.4,391760000
13-Mar-23,31819.93,32240.35,31624.87,31819.14,31819.14,429090000
10-Mar-23,32185.14,32422.1,31783.41,31909.64,31909.64,397790000
09-Mar-23,32876.83,32990.46,32190.6,32254.86,32254.86,315860000
08-Mar-23,32872.08,32903.44,32612.7,32798.4,32798.4,242750000
07-Mar-23,33428.31,33453.25,32838.21,32856.46,32856.46,299400000
06-Mar-23,33425.32,33572.22,33383.47,33431.44,33431.44,329190000
03-Mar-23,33076.33,33405.82,33008.41,33390.97,33390.97,300050000
02-Mar-23,32780.97,33083.45,32665.85,33003.57,33003.57,317450000
01-Mar-23,32656.37,32746.15,32500.71,32661.84,32661.84,292810000
28-Feb-23,32873.47,32873.47,32636.43,32656.7,32656.7,303760000
27-Feb-23,32906.16,33189.28,32814.18,32889.09,32889.09,243660000
24-Feb-23,32999.19,32999.19,32643.48,32816.92,32816.92,277120000
23-Feb-23,33175.39,33272.4,32795.67,33153.91,33153.91,288120000
22-Feb-23,33169.33,33245.97,32948.27,33045.09,33045.09,321910000
21-Feb-23,33699.69,33699.69,33115.74,33129.59,33129.59,348320000
17-Feb-23,33677.01,33846.64,33517.73,33826.69,33826.69,302900000
16-Feb-23,33992.09,34041.16,33686.59,33696.85,33696.85,317530000
15-Feb-23,34008.63,34130.49,33833.1,34128.05,34128.05,267530000
14-Feb-23,34194.09,34331.47,33827.45,34089.27,34089.27,288820000
13-Feb-23,33887.39,34249.6,33887.39,34245.93,34245.93,302600000
10-Feb-23,33671.54,33897.31,33591.99,33869.27,33869.27,288150000
09-Feb-23,34105.61,34252.57,33607.13,33699.88,33699.88,347520000
08-Feb-23,34132.9,34161.65,33899.79,33949.01,33949.01,324090000
07-Feb-23,33769.78,34240,33634.1,34156.69,34156.69,361620000
06-Feb-23,33874.44,33962.84,33683.58,33891.02,33891.02,296400000
03-Feb-23,33926.3,34179.58,33813.86,33926.01,33926.01,425150000
02-Feb-23,34129.3,34145.14,33814.78,34053.94,34053.94,429910000
01-Feb-23,34039.6,34334.7,33581.42,34092.96,34092.96,370120000
31-Jan-23,33803.56,34095.23,33664.91,34086.04,34086.04,360240000
30-Jan-23,33909.21,34055.29,33695.18,33717.09,33717.09,343920000
27-Jan-23,33952.93,34164.33,33830.85,33978.08,33978.08,441260000
26-Jan-23,33771.66,33953.79,33635.6,33949.41,33949.41,327000000
25-Jan-23,33538.36,33773.09,33273.21,33743.84,33743.84,341720000
24-Jan-23,33444.72,33782.92,33310.56,33733.96,33733.96,299310000
23-Jan-23,33439.56,33782.88,33316.25,33629.56,33629.56,355220000
20-Jan-23,33073.46,33381.95,32948.93,33375.49,33375.49,367330000
19-Jan-23,33171.35,33227.49,32982.05,33044.56,33044.56,319770000
18-Jan-23,33948.49,34016.53,33269.9,33296.96,33296.96,351670000
17-Jan-23,34222.32,34269.97,33860.67,33910.85,33910.85,353050000
13-Jan-23,34075.31,34342.32,33915.49,34302.61,34302.61,274110000
12-Jan-23,34047.86,34292.67,33792.1,34189.97,34189.97,308190000
11-Jan-23,33754.03,33974.69,33711.04,33973.01,33973.01,301650000
10-Jan-23,33516.43,33726.54,33421.8,33704.1,33704.1,268260000
09-Jan-23,33664.39,33935.11,33487.66,33517.65,33517.65,327840000
06-Jan-23,33055.3,33710.66,32997.39,33630.61,33630.61,360740000
05-Jan-23,33191.72,33191.72,32812.33,32930.08,32930.08,337920000
